,text_labels_D2
110,"header { page-title , burger-link } sidebar { medium-title , ck-box , radio , dropdn , slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } }"
111,"header { page-title , burger-link } sidebar { medium-title , ck-box , radio , slider , icons } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
112,"header { page-title , burger-link } sidebar { medium-title , ck-box , dropdn } canvas-header { btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
113,"header { page-title , burger-link } sidebar { medium-title , ck-box , dropdn , slider } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive }"
114,"header { page-title , burger-link } sidebar { medium-title , ck-box , dropdn , rating } canvas-header { btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
115,"header { page-title , burger-link } sidebar { medium-title , ck-box , dropdn , icons } canvas-header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
116,"header { page-title , burger-link } sidebar { medium-title , ck-box , dropdn , icons } canvas-header { btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
117,"header { page-title , burger-link } sidebar { medium-title , ck-box , slider , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-orange } }"
118,"header { page-title , burger-link } sidebar { medium-title , radio , dropdn } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
119,"header { page-title , burger-link } sidebar { medium-title , radio , dropdn , slider , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive }"
120,"header { page-title , burger-link } sidebar { medium-title , dropdn , slider } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
121,"header { page-title , burger-link } sidebar { medium-title , dropdn , rating } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } }"
122,"header { page-title , burger-link } sidebar { medium-title , dropdn , icons } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
123,"header { page-title , burger-link } sidebar { medium-title , slider } canvas-header { btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-green } }"
124,"header { page-title , burger-link } sidebar { ck-box , dropdn , slider } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
125,"header { page-title , burger-link } sidebar { ck-box , dropdn , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active }"
126,"header { page-title , burger-link } sidebar { ck-box , dropdn , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive }"
127,"header { page-title , burger-link } sidebar { ck-box , slider , rating , icons } canvas-header { btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } }"
128,"header { page-title , burger-link } sidebar { radio , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } }"
129,"header { page-title , burger-link } sidebar { slider } canvas-header { btn-active , btn-inactive , btn-inactive }"
130,"header { search-bar } sidebar { medium-title , ck-box } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
131,"header { search-bar } sidebar { medium-title , ck-box , radio , dropdn } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
132,"header { search-bar } sidebar { medium-title , ck-box , radio , dropdn , slider , rating } canvas-header { } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } }"
133,"header { search-bar } sidebar { medium-title , ck-box , radio , dropdn , slider , icons } canvas-header { btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
134,"header { search-bar } sidebar { medium-title , ck-box , radio , dropdn , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive }"
135,"header { search-bar } sidebar { medium-title , ck-box , radio , slider , icons } canvas-header { btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
136,"header { search-bar } sidebar { medium-title , ck-box , radio , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
137,"header { search-bar } sidebar { medium-title , ck-box , dropdn , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-green } }"
138,"header { search-bar } sidebar { medium-title , ck-box , slider } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive }"
139,"header { search-bar } sidebar { medium-title , ck-box , slider , rating } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
140,"header { search-bar } sidebar { medium-title , ck-box , slider , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } }"
141,"header { search-bar } sidebar { medium-title , ck-box , slider , icons } canvas-header { btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
142,"header { search-bar } sidebar { medium-title , ck-box , rating , icons } canvas-header { btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
143,"header { search-bar } sidebar { medium-title , radio } canvas-header { btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
144,"header { search-bar } sidebar { medium-title , radio , dropdn } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
145,"header { search-bar } sidebar { medium-title , radio , slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive }"
146,"header { search-bar } sidebar { medium-title , rating } canvas-header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
147,"header { search-bar } sidebar { ck-box , radio , dropdn , rating , icons } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
148,"header { search-bar } sidebar { ck-box , radio , dropdn , icons } canvas-header { btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
149,"header { search-bar } sidebar { ck-box , radio , rating } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
150,"header { search-bar } sidebar { ck-box , radio , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } }"
151,"header { search-bar } sidebar { ck-box , radio , rating , icons } canvas-header { btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } } row { single { small-title , text , btn-red } }"
152,"header { search-bar } sidebar { ck-box , slider } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } }"
153,"header { search-bar } sidebar { ck-box , slider , rating , icons } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } }"
154,"header { search-bar } sidebar { ck-box , slider , icons } canvas-header { btn-active , btn-inactive , btn-inactive }"
155,"header { search-bar } sidebar { radio } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } }"
156,"header { search-bar } sidebar { radio , dropdn , slider } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } }"
157,"header { search-bar } sidebar { dropdn , slider , rating } canvas-header { } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
158,"header { search-bar } sidebar { slider , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive }"
159,"header { search-bar , cart-link } sidebar { medium-title , ck-box , radio , dropdn , rating } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
160,"header { search-bar , cart-link } sidebar { medium-title , ck-box , radio , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
161,"header { search-bar , cart-link } sidebar { medium-title , ck-box , radio , slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
162,"header { search-bar , cart-link } sidebar { medium-title , ck-box , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } }"
163,"header { search-bar , cart-link } sidebar { medium-title , radio , dropdn , slider , rating , icons } canvas-header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
164,"header { search-bar , cart-link } sidebar { medium-title , radio , dropdn , slider , icons } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
165,"header { search-bar , cart-link } sidebar { medium-title , radio , dropdn , rating } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
166,"header { search-bar , cart-link } sidebar { medium-title , radio , dropdn , rating } canvas-header { btn-active }"
167,"header { search-bar , cart-link } sidebar { medium-title , radio , dropdn , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
168,"header { search-bar , cart-link } sidebar { medium-title , radio , slider } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active }"
169,"header { search-bar , cart-link } sidebar { medium-title , radio , slider } canvas-header { btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
170,"header { search-bar , cart-link } sidebar { medium-title , radio , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
171,"header { search-bar , cart-link } sidebar { medium-title , dropdn , slider } canvas-header { btn-inactive , btn-active } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
172,"header { search-bar , cart-link } sidebar { medium-title , dropdn , slider , rating } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive }"
173,"header { search-bar , cart-link } sidebar { medium-title , dropdn , slider , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-green } } row { single { small-title , text , btn-red } }"
174,"header { search-bar , cart-link } sidebar { medium-title , dropdn , icons } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive }"
175,"header { search-bar , cart-link } sidebar { medium-title , slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
176,"header { search-bar , cart-link } sidebar { medium-title , rating } canvas-header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } }"
177,"header { search-bar , cart-link } sidebar { ck-box , radio , dropdn , slider } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
178,"header { search-bar , cart-link } sidebar { ck-box , radio , dropdn , slider , rating , icons } canvas-header { } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
179,"header { search-bar , cart-link } sidebar { ck-box , radio , dropdn , slider , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
180,"header { search-bar , cart-link } sidebar { ck-box , radio , dropdn , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive }"
181,"header { search-bar , cart-link } sidebar { ck-box , radio , slider } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } }"
182,"header { search-bar , cart-link } sidebar { ck-box , radio , slider } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
183,"header { search-bar , cart-link } sidebar { ck-box , radio , rating } canvas-header { btn-active } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
184,"header { search-bar , cart-link } sidebar { ck-box , radio , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
185,"header { search-bar , cart-link } sidebar { ck-box , dropdn } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive }"
186,"header { page-title } sidebar { medium-title , ck-box , radio , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-green } }"
187,"header { search-bar , cart-link } sidebar { ck-box , dropdn , rating , icons } canvas-header { btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
188,"header { search-bar , cart-link } sidebar { ck-box , dropdn , icons } canvas-header { btn-active } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
189,"header { search-bar , cart-link } sidebar { ck-box , slider } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
190,"header { page-title } sidebar { slider , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
191,"header { search-bar , cart-link } sidebar { ck-box , icons } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } }"
192,"header { search-bar , cart-link } sidebar { radio , dropdn , slider } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } }"
193,"header { search-bar , cart-link } sidebar { radio , dropdn , icons } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
194,"header { search-bar , cart-link } sidebar { radio , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
195,"header { search-bar , cart-link } sidebar { dropdn , slider , icons } canvas-header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-red } }"
196,"header { search-bar , cart-link } sidebar { dropdn , rating } canvas-header { btn-inactive , btn-active , btn-inactive }"
197,"header { search-bar , cart-link } sidebar { slider , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
198,"header { search-bar , cart-link , burger-link } sidebar { medium-title , ck-box , radio , dropdn , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
199,"header { search-bar , cart-link , burger-link } sidebar { medium-title , ck-box , radio , dropdn , icons } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive }"
200,"header { search-bar , cart-link , burger-link } sidebar { medium-title , ck-box , radio , slider } canvas-header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
201,"header { search-bar , cart-link , burger-link } sidebar { medium-title , radio , dropdn } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive }"
202,"header { search-bar , cart-link , burger-link } sidebar { medium-title , radio , dropdn } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
203,"header { search-bar , cart-link , burger-link } sidebar { medium-title , radio , dropdn , slider , rating } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-green } }"
204,"header { search-bar , cart-link , burger-link } sidebar { medium-title , radio , dropdn , slider , icons } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
205,"header { search-bar , cart-link , burger-link } sidebar { medium-title , radio , icons } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
206,"header { search-bar , cart-link , burger-link } sidebar { medium-title , dropdn , slider } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
207,"header { search-bar , cart-link , burger-link } sidebar { medium-title , dropdn , slider , icons } canvas-header { btn-active , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
208,"header { search-bar , cart-link , burger-link } sidebar { ck-box , radio , dropdn , slider , rating , icons } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
209,"header { search-bar , cart-link , burger-link } sidebar { ck-box , radio , slider , rating } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-green } }"
210,"header { page-title , search-bar } sidebar { medium-title , ck-box , radio , dropdn , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
211,"header { search-bar , cart-link , burger-link } sidebar { ck-box , dropdn , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } }"
212,"header { search-bar , cart-link , burger-link } sidebar { ck-box , slider , icons } canvas-header { btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
213,"header { search-bar , cart-link , burger-link } sidebar { radio , dropdn , slider , icons } canvas-header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
214,"header { search-bar , cart-link , burger-link } sidebar { slider , rating } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive }"
215,"header { search-bar , burger-link } sidebar { medium-title , ck-box , radio , dropdn , rating } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
216,"header { search-bar , burger-link } sidebar { medium-title , radio , dropdn } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
217,"header { search-bar , burger-link } sidebar { medium-title , radio , dropdn } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive }"
218,"header { search-bar , burger-link } sidebar { medium-title , radio , rating , icons } canvas-header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } }"
219,"header { search-bar , burger-link } sidebar { medium-title , dropdn , slider } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive }"
220,"header { page-title , search-bar } sidebar { medium-title , ck-box , radio , icons } canvas-header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
221,"header { search-bar , burger-link } sidebar { medium-title , rating } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
222,"header { search-bar , burger-link } sidebar { medium-title , icons } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
223,"header { search-bar , burger-link } sidebar { medium-title , icons } canvas-header { btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-orange } }"
