,text_labels_D1
110,"header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
111,"header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } }"
112,"header { btn-active , btn-inactive } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
113,"header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } }"
114,"header { btn-inactive , btn-active } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } }"
115,"header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } }"
116,"header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
117,"header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
118,"header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
119,"header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
120,"header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } }"
121,"header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } }"
122,"header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
123,"header { btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } }"
124,"header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
125,"header { btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } }"
126,"header { btn-inactive , btn-active } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } }"
127,"header { btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-green } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
128,"header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } }"
129,"header { btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-red } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
130,"header { btn-active , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
131,"header { btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
132,"header { btn-inactive , btn-active } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } }"
133,"header { btn-active , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
134,"header { btn-active , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { single { small-title , text , btn-red } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } }"
135,"header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { single { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
136,"header { btn-active , btn-inactive } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
137,"header { btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } }"
138,"header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-orange } }"
139,"header { btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } }"
140,"header { btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
141,"header { btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
142,"header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } } row { single { small-title , text , btn-red } }"
143,"header { btn-inactive , btn-active } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } }"
144,"header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
145,"header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } }"
146,"header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
147,"header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
148,"header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
149,"header { btn-inactive , btn-active } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } }"
150,"header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
151,"header { btn-inactive , btn-active } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-red } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } }"
152,"header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
153,"header { btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
154,"header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
155,"header { btn-inactive , btn-active } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
156,"header { btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
157,"header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } }"
158,"header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
159,"header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
160,"header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } }"
161,"header { btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
162,"header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
163,"header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
164,"header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } }"
165,"header { btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } }"
166,"header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
167,"header { btn-inactive , btn-active } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
168,"header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
169,"header { btn-active , btn-inactive } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
170,"header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } }"
171,"header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
172,"header { btn-inactive , btn-active } row { single { small-title , text , btn-red } } row { single { small-title , text , btn-green } } row { single { small-title , text , btn-red } }"
173,"header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
174,"header { btn-active , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
175,"header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
176,"header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
177,"header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-red } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } }"
178,"header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
179,"header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } }"
180,"header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
181,"header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-green } }"
182,"header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
183,"header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } } row { single { small-title , text , btn-red } }"
184,"header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
185,"header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
186,"header { btn-inactive , btn-inactive , btn-active } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
187,"header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } }"
188,"header { btn-inactive , btn-active } row { double { small-title , text , btn-green } double { small-title , text , btn-red } }"
189,"header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
190,"header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } }"
191,"header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
192,"header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
193,"header { btn-inactive , btn-inactive , btn-active } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } }"
194,"header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
195,"header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { single { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
196,"header { btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } }"
197,"header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { single { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
198,"header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } }"
199,"header { btn-active , btn-inactive , btn-inactive , btn-inactive , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
200,"header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } }"
201,"header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } }"
202,"header { btn-active , btn-inactive } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
203,"header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-orange } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
204,"header { btn-active , btn-inactive } row { single { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
205,"header { btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-green } double { small-title , text , btn-green } } row { single { small-title , text , btn-red } }"
206,"header { btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-orange } }"
207,"header { btn-inactive , btn-active } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
208,"header { btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-orange } }"
209,"header { btn-inactive , btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } }"
210,"header { btn-active , btn-inactive } row { single { small-title , text , btn-green } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-orange } }"
211,"header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
212,"header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-red } }"
213,"header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } }"
214,"header { btn-inactive , btn-inactive , btn-active } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
